F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Jeddah Corniche Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-09 17:03:59.140,11052,0,1,22,False,1,car,0 days 00:00:00.084000,0 days 00:59:43.920000
2024-03-09 17:03:59.500,10615,0,1,24,False,1,car,0 days 00:00:00.444000,0 days 00:59:44.280000
2024-03-09 17:03:59.860,8655,8,1,25,False,1,car,0 days 00:00:00.804000,0 days 00:59:44.640000
2024-03-09 17:04:00.099,6975,18,1,32,False,1,car,0 days 00:00:01.043000,0 days 00:59:44.879000
2024-03-09 17:04:00.459,4566,30,1,45,False,1,car,0 days 00:00:01.403000,0 days 00:59:45.239000
2024-03-09 17:04:00.619,5389,42,1,47,False,1,car,0 days 00:00:01.563000,0 days 00:59:45.399000
2024-03-09 17:04:00.939,6914,51,1,59,False,1,car,0 days 00:00:01.883000,0 days 00:59:45.719000
2024-03-09 17:04:01.299,8998,70,1,67,False,1,car,0 days 00:00:02.243000,0 days 00:59:46.079000
2024-03-09 17:04:01.579,10696,85,1,76,False,1,car,0 days 00:00:02.523000,0 days 00:59:46.359000
2024-03-09 17:04:01.739,9576,87,1,90,False,1,car,0 days 00:00:02.683000,0 days 00:59:46.519000
2024-03-09 17:04:01.939,9365,93,2,82,False,1,car,0 days 00:00:02.883000,0 days 00:59:46.719000
2024-03-09 17:04:02.419,11531,118,2,100,False,1,car,0 days 00:00:03.363000,0 days 00:59:47.199000
2024-03-09 17:04:02.739,9914,123,3,100,False,1,car,0 days 00:00:03.683000,0 days 00:59:47.519000
2024-03-09 17:04:02.979,10511,146,3,100,False,1,car,0 days 00:00:03.923000,0 days 00:59:47.759000
2024-03-09 17:04:03.699,10554,168,3,100,False,1,car,0 days 00:00:04.643000,0 days 00:59:48.479000
2024-03-09 17:04:03.979,11045,178,4,100,False,1,car,0 days 00:00:04.923000,0 days 00:59:48.759000
2024-03-09 17:04:04.139,11523,182,4,100,False,1,car,0 days 00:00:05.083000,0 days 00:59:48.919000
2024-03-09 17:04:04.419,12013,193,4,100,False,1,car,0 days 00:00:05.363000,0 days 00:59:49.199000
2024-03-09 17:04:04.859,10699,200,4,100,False,1,car,0 days 00:00:05.803000,0 days 00:59:49.639000
2024-03-09 17:04:05.219,11290,213,5,100,False,1,car,0 days 00:00:06.163000,0 days 00:59:49.999000
2024-03-09 17:04:05.580,11700,224,5,100,False,1,car,0 days 00:00:06.524000,0 days 00:59:50.360000
2024-03-09 17:04:05.820,11833,226,5,100,False,1,car,0 days 00:00:06.764000,0 days 00:59:50.600000
2024-03-09 17:04:05.980,11986,228,5,92,False,1,car,0 days 00:00:06.924000,0 days 00:59:50.760000
2024-03-09 17:04:06.180,11784,228,5,0,False,1,car,0 days 00:00:07.124000,0 days 00:59:50.960000
2024-03-09 17:04:06.420,11314,221,5,0,True,1,car,0 days 00:00:07.364000,0 days 00:59:51.200000
2024-03-09 17:04:06.620,10907,212,5,0,True,1,car,0 days 00:00:07.564000,0 days 00:59:51.400000
2024-03-09 17:04:06.859,11235,196,5,0,True,1,car,0 days 00:00:07.803000,0 days 00:59:51.639000
2024-03-09 17:04:07.179,11283,175,4,0,True,1,car,0 days 00:00:08.123000,0 days 00:59:51.959000
2024-03-09 17:04:07.459,11647,171,3,0,True,1,car,0 days 00:00:08.403000,0 days 00:59:52.239000
2024-03-09 17:04:07.619,11123,171,3,0,True,1,car,0 days 00:00:08.563000,0 days 00:59:52.399000
2024-03-09 17:04:07.859,10398,150,3,0,True,1,car,0 days 00:00:08.803000,0 days 00:59:52.639000
2024-03-09 17:04:08.139,10499,139,3,0,True,1,car,0 days 00:00:09.083000,0 days 00:59:52.919000
2024-03-09 17:04:08.299,11619,137,3,0,True,1,car,0 days 00:00:09.243000,0 days 00:59:53.079000
2024-03-09 17:04:08.579,11651,126,2,0,True,1,car,0 days 00:00:09.523000,0 days 00:59:53.359000
2024-03-09 17:04:08.859,10479,119,2,0,True,1,car,0 days 00:00:09.803000,0 days 00:59:53.639000
2024-03-09 17:04:09.219,10737,99,2,0,True,1,car,0 days 00:00:10.163000,0 days 00:59:53.999000
2024-03-09 17:04:09.579,9167,75,1,0,True,1,car,0 days 00:00:10.523000,0 days 00:59:54.359000
2024-03-09 17:04:09.739,9167,75,1,0,True,1,car,0 days 00:00:10.683000,0 days 00:59:54.519000
2024-03-09 17:04:10.219,8554,66,1,19,False,1,car,0 days 00:00:11.163000,0 days 00:59:54.999000
2024-03-09 17:04:10.499,7201,66,1,0,True,1,car,0 days 00:00:11.443000,0 days 00:59:55.279000
2024-03-09 17:04:10.819,5521,55,1,6,True,1,car,0 days 00:00:11.763000,0 days 00:59:55.599000
2024-03-09 17:04:10.979,6641,52,1,21,False,1,car,0 days 00:00:11.923000,0 days 00:59:55.759000
2024-03-09 17:04:11.139,7077,54,1,29,False,1,car,0 days 00:00:12.083000,0 days 00:59:55.919000
2024-03-09 17:04:11.539,8507,62,1,48,False,1,car,0 days 00:00:12.483000,0 days 00:59:56.319000
2024-03-09 17:04:11.779,9255,71,1,56,False,1,car,0 days 00:00:12.723000,0 days 00:59:56.559000
2024-03-09 17:04:12.140,7443,77,2,54,False,1,car,0 days 00:00:13.084000,0 days 00:59:56.920000
2024-03-09 17:04:12.340,7035,82,2,0,True,1,car,0 days 00:00:13.284000,0 days 00:59:57.120000
2024-03-09 17:04:12.580,6662,77,2,2,True,1,car,0 days 00:00:13.524000,0 days 00:59:57.360000
2024-03-09 17:04:12.780,6527,72,2,0,True,1,car,0 days 00:00:13.724000,0 days 00:59:57.560000
2024-03-09 17:04:13.020,6700,70,2,17,True,1,car,0 days 00:00:13.964000,0 days 00:59:57.800000
2024-03-09 17:04:13.460,7011,71,2,38,False,1,car,0 days 00:00:14.404000,0 days 00:59:58.240000
2024-03-09 17:04:13.739,7081,75,2,35,False,1,car,0 days 00:00:14.683000,0 days 00:59:58.519000
2024-03-09 17:04:13.979,7663,79,2,32,False,1,car,0 days 00:00:14.923000,0 days 00:59:58.759000
2024-03-09 17:04:14.179,7811,81,2,49,False,1,car,0 days 00:00:15.123000,0 days 00:59:58.959000
2024-03-09 17:04:14.459,8344,85,2,60,False,1,car,0 days 00:00:15.403000,0 days 00:59:59.239000
2024-03-09 17:04:14.619,9285,91,2,61,False,1,car,0 days 00:00:15.563000,0 days 00:59:59.399000
2024-03-09 17:04:14.859,9525,91,2,77,False,1,car,0 days 00:00:15.803000,0 days 00:59:59.639000
2024-03-09 17:04:15.059,10530,91,2,82,False,1,car,0 days 00:00:16.003000,0 days 00:59:59.839000
2024-03-09 17:04:15.499,9381,120,2,86,False,1,car,0 days 00:00:16.443000,0 days 01:00:00.279000
2024-03-09 17:04:15.659,9803,125,3,80,False,1,car,0 days 00:00:16.603000,0 days 01:00:00.439000
2024-03-09 17:04:15.979,10680,141,3,100,False,1,car,0 days 00:00:16.923000,0 days 01:00:00.759000
2024-03-09 17:04:16.179,11380,149,3,92,False,1,car,0 days 00:00:17.123000,0 days 01:00:00.959000
2024-03-09 17:04:16.499,11725,155,3,48,False,1,car,0 days 00:00:17.443000,0 days 01:00:01.279000
