F1 for AiM
Racer,Valtteri Bottas
Vehicle,Kick Sauber
Track,Shanghai International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-21 07:03:36.958,10735,0,1,24,False,1,car,0 days 00:00:00.116000,0 days 00:55:18.285000
2024-04-21 07:03:37.318,10124,0,1,23,False,1,car,0 days 00:00:00.476000,0 days 00:55:18.645000
2024-04-21 07:03:37.598,8164,11,1,25,False,1,car,0 days 00:00:00.756000,0 days 00:55:18.925000
2024-04-21 07:03:37.758,7044,11,1,26,False,1,car,0 days 00:00:00.916000,0 days 00:55:19.085000
2024-04-21 07:03:37.958,5644,21,1,26,False,1,car,0 days 00:00:01.116000,0 days 00:55:19.285000
2024-04-21 07:03:38.158,4649,28,1,28,False,1,car,0 days 00:00:01.316000,0 days 00:55:19.485000
2024-04-21 07:03:38.438,5068,39,1,32,False,1,car,0 days 00:00:01.596000,0 days 00:55:19.765000
2024-04-21 07:03:38.598,5677,46,1,40,False,1,car,0 days 00:00:01.756000,0 days 00:55:19.925000
2024-04-21 07:03:38.838,6867,54,1,49,False,1,car,0 days 00:00:01.996000,0 days 00:55:20.165000
2024-04-21 07:03:38.998,7987,62,1,54,False,1,car,0 days 00:00:02.156000,0 days 00:55:20.325000
2024-04-21 07:03:39.158,8843,66,1,54,False,1,car,0 days 00:00:02.316000,0 days 00:55:20.485000
2024-04-21 07:03:39.398,8710,70,1,61,False,1,car,0 days 00:00:02.556000,0 days 00:55:20.725000
2024-04-21 07:03:39.598,8257,87,1,67,False,1,car,0 days 00:00:02.756000,0 days 00:55:20.925000
2024-04-21 07:03:39.758,9011,92,2,75,False,1,car,0 days 00:00:02.916000,0 days 00:55:21.085000
2024-04-21 07:03:40.038,10150,101,2,78,False,1,car,0 days 00:00:03.196000,0 days 00:55:21.365000
2024-04-21 07:03:40.198,11241,115,2,82,False,1,car,0 days 00:00:03.356000,0 days 00:55:21.525000
2024-04-21 07:03:40.438,10483,125,2,98,False,1,car,0 days 00:00:03.596000,0 days 00:55:21.765000
2024-04-21 07:03:40.638,10904,130,3,100,False,1,car,0 days 00:00:03.796000,0 days 00:55:21.965000
2024-04-21 07:03:40.798,11319,147,3,100,False,1,car,0 days 00:00:03.956000,0 days 00:55:22.125000
2024-04-21 07:03:41.117,10389,160,3,100,False,1,car,0 days 00:00:04.275000,0 days 00:55:22.444000
2024-04-21 07:03:41.358,11047,168,4,100,False,1,car,0 days 00:00:04.516000,0 days 00:55:22.685000
