F1 for AiM
Racer,Yuki Tsunoda
Vehicle,RB
Track,Shanghai International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-21 07:03:36.958,10679,0,1,26,False,1,car,0 days 00:00:00.116000,0 days 00:55:18.285000
2024-04-21 07:03:37.318,10002,3,1,31,False,1,car,0 days 00:00:00.476000,0 days 00:55:18.645000
2024-04-21 07:03:37.598,8042,9,1,34,False,1,car,0 days 00:00:00.756000,0 days 00:55:18.925000
2024-04-21 07:03:37.758,6922,15,1,35,False,1,car,0 days 00:00:00.916000,0 days 00:55:19.085000
2024-04-21 07:03:37.958,5522,22,1,37,False,1,car,0 days 00:00:01.116000,0 days 00:55:19.285000
2024-04-21 07:03:38.158,4122,29,1,39,False,1,car,0 days 00:00:01.316000,0 days 00:55:19.485000
2024-04-21 07:03:38.438,4729,40,1,52,False,1,car,0 days 00:00:01.596000,0 days 00:55:19.765000
2024-04-21 07:03:38.598,5787,44,1,56,False,1,car,0 days 00:00:01.756000,0 days 00:55:19.925000
2024-04-21 07:03:38.838,7028,56,1,60,False,1,car,0 days 00:00:01.996000,0 days 00:55:20.165000
2024-04-21 07:03:38.998,8148,56,1,62,False,1,car,0 days 00:00:02.156000,0 days 00:55:20.325000
2024-04-21 07:03:39.158,9268,67,1,62,False,1,car,0 days 00:00:02.316000,0 days 00:55:20.485000
2024-04-21 07:03:39.398,10428,75,1,63,False,1,car,0 days 00:00:02.556000,0 days 00:55:20.725000
2024-04-21 07:03:39.598,10253,83,1,69,False,1,car,0 days 00:00:02.756000,0 days 00:55:20.925000
2024-04-21 07:03:39.758,11373,87,1,74,False,1,car,0 days 00:00:02.916000,0 days 00:55:21.085000
2024-04-21 07:03:40.038,11056,104,1,80,False,1,car,0 days 00:00:03.196000,0 days 00:55:21.365000
2024-04-21 07:03:40.198,11336,108,1,82,False,1,car,0 days 00:00:03.356000,0 days 00:55:21.525000
2024-04-21 07:03:40.438,11616,122,2,90,False,1,car,0 days 00:00:03.596000,0 days 00:55:21.765000
2024-04-21 07:03:40.638,11507,132,2,100,False,1,car,0 days 00:00:03.796000,0 days 00:55:21.965000
