F1 for AiM
Racer,Valtteri Bottas
Vehicle,Kick Sauber
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-05 20:03:23.810,10549,0,1,25,False,1,car,0 days 00:00:00.014000,0 days 00:55:43.042000
2024-05-05 20:03:24.170,10418,0,1,25,False,1,car,0 days 00:00:00.374000,0 days 00:55:43.402000
2024-05-05 20:03:24.530,8038,11,1,24,False,1,car,0 days 00:00:00.734000,0 days 00:55:43.762000
2024-05-05 20:03:24.810,6078,11,1,25,False,1,car,0 days 00:00:01.014000,0 days 00:55:44.042000
2024-05-05 20:03:25.169,4100,32,1,29,False,1,car,0 days 00:00:01.373000,0 days 00:55:44.401000
2024-05-05 20:03:25.449,5248,44,1,42,False,1,car,0 days 00:00:01.653000,0 days 00:55:44.681000
2024-05-05 20:03:25.769,6867,56,1,49,False,1,car,0 days 00:00:01.973000,0 days 00:55:45.001000
2024-05-05 20:03:26.009,7528,65,1,61,False,1,car,0 days 00:00:02.213000,0 days 00:55:45.241000
2024-05-05 20:03:26.249,9208,79,1,70,False,1,car,0 days 00:00:02.453000,0 days 00:55:45.481000
2024-05-05 20:03:26.689,9597,97,1,75,False,1,car,0 days 00:00:02.893000,0 days 00:55:45.921000
2024-05-05 20:03:26.849,9562,106,2,78,False,1,car,0 days 00:00:03.053000,0 days 00:55:46.081000
2024-05-05 20:03:27.049,10504,110,2,81,False,1,car,0 days 00:00:03.253000,0 days 00:55:46.281000
2024-05-05 20:03:27.369,10644,130,2,98,False,1,car,0 days 00:00:03.573000,0 days 00:55:46.601000
2024-05-05 20:03:27.689,11131,145,3,100,False,1,car,0 days 00:00:03.893000,0 days 00:55:46.921000
2024-05-05 20:03:27.889,11770,156,3,100,False,1,car,0 days 00:00:04.093000,0 days 00:55:47.121000
2024-05-05 20:03:28.089,11379,165,3,100,False,1,car,0 days 00:00:04.293000,0 days 00:55:47.321000
2024-05-05 20:03:28.489,11271,181,4,100,False,1,car,0 days 00:00:04.693000,0 days 00:55:47.721000
2024-05-05 20:03:28.689,11889,184,4,100,False,1,car,0 days 00:00:04.893000,0 days 00:55:47.921000
2024-05-05 20:03:29.089,10645,198,5,100,False,1,car,0 days 00:00:05.293000,0 days 00:55:48.321000
2024-05-05 20:03:29.329,11224,204,5,100,False,1,car,0 days 00:00:05.533000,0 days 00:55:48.561000
2024-05-05 20:03:29.570,11494,216,5,100,False,1,car,0 days 00:00:05.774000,0 days 00:55:48.802000
2024-05-05 20:03:29.770,11786,222,5,100,False,1,car,0 days 00:00:05.974000,0 days 00:55:49.002000
2024-05-05 20:03:30.130,10432,231,6,100,False,1,car,0 days 00:00:06.334000,0 days 00:55:49.362000
2024-05-05 20:03:30.530,11022,241,6,100,False,1,car,0 days 00:00:06.734000,0 days 00:55:49.762000
2024-05-05 20:03:30.730,11243,245,6,100,False,1,car,0 days 00:00:06.934000,0 days 00:55:49.962000
2024-05-05 20:03:30.930,11397,247,6,100,False,1,car,0 days 00:00:07.134000,0 days 00:55:50.162000
2024-05-05 20:03:31.090,11397,248,6,6,True,1,car,0 days 00:00:07.294000,0 days 00:55:50.322000
2024-05-05 20:03:31.450,10277,229,6,0,True,1,car,0 days 00:00:07.654000,0 days 00:55:50.682000
2024-05-05 20:03:31.690,9140,208,6,0,True,1,car,0 days 00:00:07.894000,0 days 00:55:50.922000
2024-05-05 20:03:32.009,7732,179,6,0,True,1,car,0 days 00:00:08.213000,0 days 00:55:51.241000
2024-05-05 20:03:32.409,7600,141,6,0,True,1,car,0 days 00:00:08.613000,0 days 00:55:51.641000
2024-05-05 20:03:32.569,8429,127,6,0,True,1,car,0 days 00:00:08.773000,0 days 00:55:51.801000
2024-05-05 20:03:32.889,7695,113,4,0,True,1,car,0 days 00:00:09.093000,0 days 00:55:52.121000
2024-05-05 20:03:33.169,7042,89,3,0,True,1,car,0 days 00:00:09.373000,0 days 00:55:52.401000
2024-05-05 20:03:33.369,6378,78,2,0,True,1,car,0 days 00:00:09.573000,0 days 00:55:52.601000
2024-05-05 20:03:33.769,5865,64,2,0,True,1,car,0 days 00:00:09.973000,0 days 00:55:53.001000
2024-05-05 20:03:33.969,5501,62,2,0,True,1,car,0 days 00:00:10.173000,0 days 00:55:53.201000
2024-05-05 20:03:34.129,4976,60,2,0,True,1,car,0 days 00:00:10.333000,0 days 00:55:53.361000
2024-05-05 20:03:34.409,4149,56,2,0,True,1,car,0 days 00:00:10.613000,0 days 00:55:53.641000
2024-05-05 20:03:34.689,5058,51,2,12,False,1,car,0 days 00:00:10.893000,0 days 00:55:53.921000
2024-05-05 20:03:34.929,4863,53,2,11,True,1,car,0 days 00:00:11.133000,0 days 00:55:54.161000
2024-05-05 20:03:35.089,4921,52,2,15,True,1,car,0 days 00:00:11.293000,0 days 00:55:54.321000
2024-05-05 20:03:35.449,5398,58,2,30,True,1,car,0 days 00:00:11.653000,0 days 00:55:54.681000
2024-05-05 20:03:35.649,5672,60,2,36,False,1,car,0 days 00:00:11.853000,0 days 00:55:54.881000
2024-05-05 20:03:36.050,6776,69,2,48,False,1,car,0 days 00:00:12.254000,0 days 00:55:55.282000
2024-05-05 20:03:36.330,7530,79,2,55,False,1,car,0 days 00:00:12.534000,0 days 00:55:55.562000
2024-05-05 20:03:36.530,7853,86,2,55,False,1,car,0 days 00:00:12.734000,0 days 00:55:55.762000
2024-05-05 20:03:36.850,8588,98,2,67,False,1,car,0 days 00:00:13.054000,0 days 00:55:56.082000
2024-05-05 20:03:37.290,11388,115,2,78,False,1,car,0 days 00:00:13.494000,0 days 00:55:56.522000
2024-05-05 20:03:37.650,9520,127,3,47,True,1,car,0 days 00:00:13.854000,0 days 00:55:56.882000
2024-05-05 20:03:37.850,9296,125,3,26,True,1,car,0 days 00:00:14.054000,0 days 00:55:57.082000
2024-05-05 20:03:38.010,9053,124,3,10,False,1,car,0 days 00:00:14.214000,0 days 00:55:57.242000
2024-05-05 20:03:38.170,8730,122,3,2,True,1,car,0 days 00:00:14.374000,0 days 00:55:57.402000
2024-05-05 20:03:38.490,8892,119,3,4,False,1,car,0 days 00:00:14.694000,0 days 00:55:57.722000
2024-05-05 20:03:38.729,9241,120,3,51,False,1,car,0 days 00:00:14.933000,0 days 00:55:57.961000
2024-05-05 20:03:38.969,9415,122,3,56,False,1,car,0 days 00:00:15.173000,0 days 00:55:58.201000
2024-05-05 20:03:39.129,9783,126,3,62,False,1,car,0 days 00:00:15.333000,0 days 00:55:58.361000
2024-05-05 20:03:39.489,10504,136,3,74,False,1,car,0 days 00:00:15.693000,0 days 00:55:58.721000
2024-05-05 20:03:39.649,10949,143,3,76,False,1,car,0 days 00:00:15.853000,0 days 00:55:58.881000
2024-05-05 20:03:39.849,10959,150,3,74,True,1,car,0 days 00:00:16.053000,0 days 00:55:59.081000
2024-05-05 20:03:40.089,9366,151,4,44,False,1,car,0 days 00:00:16.293000,0 days 00:55:59.321000
2024-05-05 20:03:40.289,9486,149,4,50,True,1,car,0 days 00:00:16.493000,0 days 00:55:59.521000
2024-05-05 20:03:40.569,9764,152,4,59,False,1,car,0 days 00:00:16.773000,0 days 00:55:59.801000
2024-05-05 20:03:40.809,9533,153,4,41,True,1,car,0 days 00:00:17.013000,0 days 00:56:00.041000
2024-05-05 20:03:41.129,9646,149,4,46,True,1,car,0 days 00:00:17.333000,0 days 00:56:00.361000
2024-05-05 20:03:41.329,9457,152,4,58,False,1,car,0 days 00:00:17.533000,0 days 00:56:00.561000
2024-05-05 20:03:41.529,9933,154,4,70,False,1,car,0 days 00:00:17.733000,0 days 00:56:00.761000
2024-05-05 20:03:41.809,10455,160,4,76,False,1,car,0 days 00:00:18.013000,0 days 00:56:01.041000
2024-05-05 20:03:42.209,11107,170,4,86,False,1,car,0 days 00:00:18.413000,0 days 00:56:01.441000
2024-05-05 20:03:42.409,11447,175,4,100,False,1,car,0 days 00:00:18.613000,0 days 00:56:01.641000
2024-05-05 20:03:42.770,11354,190,4,98,False,1,car,0 days 00:00:18.974000,0 days 00:56:02.002000
2024-05-05 20:03:42.930,10549,193,5,86,False,1,car,0 days 00:00:19.134000,0 days 00:56:02.162000
2024-05-05 20:03:43.290,11051,206,5,100,False,1,car,0 days 00:00:19.494000,0 days 00:56:02.522000
2024-05-05 20:03:43.450,11227,211,5,100,False,1,car,0 days 00:00:19.654000,0 days 00:56:02.682000
2024-05-05 20:03:43.690,11598,216,5,94,True,1,car,0 days 00:00:19.894000,0 days 00:56:02.922000
2024-05-05 20:03:43.890,10198,219,6,91,False,1,car,0 days 00:00:20.094000,0 days 00:56:03.122000
2024-05-05 20:03:44.290,10354,228,6,86,False,1,car,0 days 00:00:20.494000,0 days 00:56:03.522000
2024-05-05 20:03:44.450,10665,229,6,80,True,1,car,0 days 00:00:20.654000,0 days 00:56:03.682000
2024-05-05 20:03:44.650,10555,231,6,76,False,1,car,0 days 00:00:20.854000,0 days 00:56:03.882000
2024-05-05 20:03:44.930,10835,233,6,95,False,1,car,0 days 00:00:21.134000,0 days 00:56:04.162000
2024-05-05 20:03:45.130,10946,239,6,95,False,1,car,0 days 00:00:21.334000,0 days 00:56:04.362000
2024-05-05 20:03:45.329,10958,244,6,86,False,1,car,0 days 00:00:21.533000,0 days 00:56:04.561000
2024-05-05 20:03:45.689,11425,248,6,100,False,1,car,0 days 00:00:21.893000,0 days 00:56:04.921000
2024-05-05 20:03:46.129,10596,255,6,100,False,1,car,0 days 00:00:22.333000,0 days 00:56:05.361000
2024-05-05 20:03:46.409,10340,259,7,100,False,1,car,0 days 00:00:22.613000,0 days 00:56:05.641000
2024-05-05 20:03:46.689,10581,264,7,77,False,1,car,0 days 00:00:22.893000,0 days 00:56:05.921000
2024-05-05 20:03:47.009,10602,265,7,85,True,1,car,0 days 00:00:23.213000,0 days 00:56:06.241000
2024-05-05 20:03:47.249,10787,265,7,72,False,1,car,0 days 00:00:23.453000,0 days 00:56:06.481000
2024-05-05 20:03:47.489,10677,266,7,62,False,1,car,0 days 00:00:23.693000,0 days 00:56:06.721000
2024-05-05 20:03:47.729,10592,262,7,41,True,1,car,0 days 00:00:23.933000,0 days 00:56:06.961000
2024-05-05 20:03:48.129,9822,249,7,19,True,1,car,0 days 00:00:24.333000,0 days 00:56:07.361000
2024-05-05 20:03:48.329,9210,235,7,0,True,1,car,0 days 00:00:24.533000,0 days 00:56:07.561000
2024-05-05 20:03:48.609,9425,222,7,0,True,1,car,0 days 00:00:24.813000,0 days 00:56:07.841000
2024-05-05 20:03:48.769,9628,214,7,0,True,1,car,0 days 00:00:24.973000,0 days 00:56:08.001000
2024-05-05 20:03:49.009,9512,209,6,24,False,1,car,0 days 00:00:25.213000,0 days 00:56:08.241000
2024-05-05 20:03:49.450,9323,195,6,5,True,1,car,0 days 00:00:25.654000,0 days 00:56:08.682000
2024-05-05 20:03:49.770,9902,185,5,3,True,1,car,0 days 00:00:25.974000,0 days 00:56:09.002000
2024-05-05 20:03:50.010,9823,182,5,43,False,1,car,0 days 00:00:26.214000,0 days 00:56:09.242000
