F1 for AiM
Racer,Esteban Ocon
Vehicle,Alpine
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-05 20:03:23.810,11045,0,1,21,False,1,car,0 days 00:00:00.014000,0 days 00:55:43.042000
2024-05-05 20:03:24.170,10992,0,1,21,False,1,car,0 days 00:00:00.374000,0 days 00:55:43.402000
2024-05-05 20:03:24.530,8472,9,1,23,False,1,car,0 days 00:00:00.734000,0 days 00:55:43.762000
2024-05-05 20:03:24.810,6512,20,1,23,False,1,car,0 days 00:00:01.014000,0 days 00:55:44.042000
2024-05-05 20:03:25.169,4442,34,1,41,False,1,car,0 days 00:00:01.373000,0 days 00:55:44.401000
2024-05-05 20:03:25.449,5157,42,1,42,False,1,car,0 days 00:00:01.653000,0 days 00:55:44.681000
2024-05-05 20:03:25.769,7141,59,1,55,False,1,car,0 days 00:00:01.973000,0 days 00:55:45.001000
2024-05-05 20:03:26.009,8681,68,1,61,False,1,car,0 days 00:00:02.213000,0 days 00:55:45.241000
2024-05-05 20:03:26.249,8974,81,1,70,False,1,car,0 days 00:00:02.453000,0 days 00:55:45.481000
2024-05-05 20:03:26.689,9318,99,2,81,False,1,car,0 days 00:00:02.893000,0 days 00:55:45.921000
2024-05-05 20:03:26.849,10133,104,2,82,False,1,car,0 days 00:00:03.053000,0 days 00:55:46.081000
2024-05-05 20:03:27.049,11301,120,2,87,False,1,car,0 days 00:00:03.253000,0 days 00:55:46.281000
2024-05-05 20:03:27.369,10078,133,2,87,False,1,car,0 days 00:00:03.573000,0 days 00:55:46.601000
2024-05-05 20:03:27.689,10533,142,3,86,False,1,car,0 days 00:00:03.893000,0 days 00:55:46.921000
2024-05-05 20:03:27.889,10533,150,3,86,False,1,car,0 days 00:00:04.093000,0 days 00:55:47.121000
2024-05-05 20:03:28.089,10423,161,3,99,False,1,car,0 days 00:00:04.293000,0 days 00:55:47.321000
2024-05-05 20:03:28.489,10935,177,4,100,False,1,car,0 days 00:00:04.693000,0 days 00:55:47.721000
2024-05-05 20:03:28.689,11509,185,4,100,False,1,car,0 days 00:00:04.893000,0 days 00:55:47.921000
2024-05-05 20:03:29.089,10428,196,4,100,False,1,car,0 days 00:00:05.293000,0 days 00:55:48.321000
2024-05-05 20:03:29.329,10919,207,5,100,False,1,car,0 days 00:00:05.533000,0 days 00:55:48.561000
2024-05-05 20:03:29.570,11157,216,5,100,False,1,car,0 days 00:00:05.774000,0 days 00:55:48.802000
2024-05-05 20:03:29.770,10164,222,5,100,False,1,car,0 days 00:00:05.974000,0 days 00:55:49.002000
2024-05-05 20:03:30.130,10401,230,6,100,False,1,car,0 days 00:00:06.334000,0 days 00:55:49.362000
2024-05-05 20:03:30.530,10623,235,6,100,False,1,car,0 days 00:00:06.734000,0 days 00:55:49.762000
2024-05-05 20:03:30.730,11012,240,6,100,False,1,car,0 days 00:00:06.934000,0 days 00:55:49.962000
2024-05-05 20:03:30.930,11012,247,6,100,False,1,car,0 days 00:00:07.134000,0 days 00:55:50.162000
2024-05-05 20:03:31.090,10872,242,6,100,True,1,car,0 days 00:00:07.294000,0 days 00:55:50.322000
2024-05-05 20:03:31.450,9776,186,6,0,True,1,car,0 days 00:00:07.654000,0 days 00:55:50.682000
