F1 for AiM
Racer,Sergio Perez
Vehicle,Red Bull Racing
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-05 20:03:23.810,9757,0,1,16,True,1,car,0 days 00:00:00.014000,0 days 00:55:43.042000
2024-05-05 20:03:24.170,9359,0,1,16,True,1,car,0 days 00:00:00.374000,0 days 00:55:43.402000
2024-05-05 20:03:24.530,6839,6,1,16,False,1,car,0 days 00:00:00.734000,0 days 00:55:43.762000
2024-05-05 20:03:24.810,4879,17,1,20,False,1,car,0 days 00:00:01.014000,0 days 00:55:44.042000
2024-05-05 20:03:25.169,4284,31,1,22,False,1,car,0 days 00:00:01.373000,0 days 00:55:44.401000
2024-05-05 20:03:25.449,5174,42,1,34,False,1,car,0 days 00:00:01.653000,0 days 00:55:44.681000
2024-05-05 20:03:25.769,6476,55,1,39,False,1,car,0 days 00:00:01.973000,0 days 00:55:45.001000
2024-05-05 20:03:26.009,8016,68,1,53,False,1,car,0 days 00:00:02.213000,0 days 00:55:45.241000
2024-05-05 20:03:26.249,9190,76,1,59,False,1,car,0 days 00:00:02.453000,0 days 00:55:45.481000
2024-05-05 20:03:26.689,10998,99,1,72,False,1,car,0 days 00:00:02.893000,0 days 00:55:45.921000
2024-05-05 20:03:26.849,10158,103,1,83,False,1,car,0 days 00:00:03.053000,0 days 00:55:46.081000
2024-05-05 20:03:27.049,11056,113,2,100,False,1,car,0 days 00:00:03.253000,0 days 00:55:46.281000
2024-05-05 20:03:27.369,11056,128,2,100,False,1,car,0 days 00:00:03.573000,0 days 00:55:46.601000
2024-05-05 20:03:27.689,11012,149,3,100,False,1,car,0 days 00:00:03.893000,0 days 00:55:46.921000
2024-05-05 20:03:27.889,11012,158,3,100,False,1,car,0 days 00:00:04.093000,0 days 00:55:47.121000
2024-05-05 20:03:28.089,10410,162,3,100,False,1,car,0 days 00:00:04.293000,0 days 00:55:47.321000
2024-05-05 20:03:28.489,11009,182,4,100,False,1,car,0 days 00:00:04.693000,0 days 00:55:47.721000
2024-05-05 20:03:28.689,11395,188,4,100,False,1,car,0 days 00:00:04.893000,0 days 00:55:47.921000
2024-05-05 20:03:29.089,10059,199,4,100,False,1,car,0 days 00:00:05.293000,0 days 00:55:48.321000
2024-05-05 20:03:29.329,10476,196,5,71,False,1,car,0 days 00:00:05.533000,0 days 00:55:48.561000
2024-05-05 20:03:29.570,10275,196,5,100,False,1,car,0 days 00:00:05.774000,0 days 00:55:48.802000
2024-05-05 20:03:29.770,10688,205,5,100,False,1,car,0 days 00:00:05.974000,0 days 00:55:49.002000
2024-05-05 20:03:30.130,11222,216,5,100,False,1,car,0 days 00:00:06.334000,0 days 00:55:49.362000
2024-05-05 20:03:30.530,10626,226,5,8,False,1,car,0 days 00:00:06.734000,0 days 00:55:49.762000
