F1 for AiM
Racer,Logan Sargeant
Vehicle,Williams
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-05 20:03:23.810,10177,0,1,23,False,1,car,0 days 00:00:00.014000,0 days 00:55:43.042000
2024-05-05 20:03:24.170,10167,0,1,23,False,1,car,0 days 00:00:00.374000,0 days 00:55:43.402000
2024-05-05 20:03:24.530,8907,8,1,20,False,1,car,0 days 00:00:00.734000,0 days 00:55:43.762000
2024-05-05 20:03:24.810,6947,18,1,21,False,1,car,0 days 00:00:01.014000,0 days 00:55:44.042000
2024-05-05 20:03:25.169,5546,31,1,25,False,1,car,0 days 00:00:01.373000,0 days 00:55:44.401000
2024-05-05 20:03:25.449,5712,38,1,31,False,1,car,0 days 00:00:01.653000,0 days 00:55:44.681000
2024-05-05 20:03:25.769,5675,49,1,38,False,1,car,0 days 00:00:01.973000,0 days 00:55:45.001000
2024-05-05 20:03:26.009,6095,62,1,38,False,1,car,0 days 00:00:02.213000,0 days 00:55:45.241000
2024-05-05 20:03:26.249,7775,71,1,54,False,1,car,0 days 00:00:02.453000,0 days 00:55:45.481000
2024-05-05 20:03:26.689,10776,93,1,69,False,1,car,0 days 00:00:02.893000,0 days 00:55:45.921000
2024-05-05 20:03:26.849,10496,98,1,74,False,1,car,0 days 00:00:03.053000,0 days 00:55:46.081000
2024-05-05 20:03:27.049,9885,107,2,79,False,1,car,0 days 00:00:03.253000,0 days 00:55:46.281000
2024-05-05 20:03:27.369,11212,129,2,97,False,1,car,0 days 00:00:03.573000,0 days 00:55:46.601000
2024-05-05 20:03:27.689,10297,145,3,100,False,1,car,0 days 00:00:03.893000,0 days 00:55:46.921000
2024-05-05 20:03:27.889,11144,154,3,100,False,1,car,0 days 00:00:04.093000,0 days 00:55:47.121000
2024-05-05 20:03:28.089,11526,163,3,100,False,1,car,0 days 00:00:04.293000,0 days 00:55:47.321000
2024-05-05 20:03:28.489,11303,179,4,100,False,1,car,0 days 00:00:04.693000,0 days 00:55:47.721000
2024-05-05 20:03:28.689,11541,186,4,100,False,1,car,0 days 00:00:04.893000,0 days 00:55:47.921000
2024-05-05 20:03:29.089,10917,200,5,100,False,1,car,0 days 00:00:05.293000,0 days 00:55:48.321000
2024-05-05 20:03:29.329,11233,206,5,100,False,1,car,0 days 00:00:05.533000,0 days 00:55:48.561000
2024-05-05 20:03:29.570,11552,215,5,100,False,1,car,0 days 00:00:05.774000,0 days 00:55:48.802000
2024-05-05 20:03:29.770,11537,221,5,100,False,1,car,0 days 00:00:05.974000,0 days 00:55:49.002000
2024-05-05 20:03:30.130,10685,228,6,100,False,1,car,0 days 00:00:06.334000,0 days 00:55:49.362000
2024-05-05 20:03:30.530,11230,237,6,100,False,1,car,0 days 00:00:06.734000,0 days 00:55:49.762000
2024-05-05 20:03:30.730,11230,239,6,100,False,1,car,0 days 00:00:06.934000,0 days 00:55:49.962000
2024-05-05 20:03:30.930,11024,244,6,16,False,1,car,0 days 00:00:07.134000,0 days 00:55:50.162000
2024-05-05 20:03:31.090,10676,244,6,16,False,1,car,0 days 00:00:07.294000,0 days 00:55:50.322000
2024-05-05 20:03:31.450,10458,229,6,0,True,1,car,0 days 00:00:07.654000,0 days 00:55:50.682000
2024-05-05 20:03:31.690,10062,212,6,0,True,1,car,0 days 00:00:07.894000,0 days 00:55:50.922000
2024-05-05 20:03:32.009,10711,178,6,0,True,1,car,0 days 00:00:08.213000,0 days 00:55:51.241000
2024-05-05 20:03:32.409,10151,154,4,0,True,1,car,0 days 00:00:08.613000,0 days 00:55:51.641000
2024-05-05 20:03:32.569,10275,142,3,0,True,1,car,0 days 00:00:08.773000,0 days 00:55:51.801000
2024-05-05 20:03:32.889,9383,135,3,0,True,1,car,0 days 00:00:09.093000,0 days 00:55:52.121000
2024-05-05 20:03:33.169,9726,116,3,0,True,1,car,0 days 00:00:09.373000,0 days 00:55:52.401000
2024-05-05 20:03:33.369,9586,107,2,0,True,1,car,0 days 00:00:09.573000,0 days 00:55:52.601000
2024-05-05 20:03:33.769,8204,97,2,0,True,1,car,0 days 00:00:09.973000,0 days 00:55:53.001000
2024-05-05 20:03:33.969,8064,93,2,0,True,1,car,0 days 00:00:10.173000,0 days 00:55:53.201000
2024-05-05 20:03:34.129,7903,91,2,5,False,1,car,0 days 00:00:10.333000,0 days 00:55:53.361000
2024-05-05 20:03:34.409,7349,90,2,16,False,1,car,0 days 00:00:10.613000,0 days 00:55:53.641000
2024-05-05 20:03:34.689,7238,87,2,0,True,1,car,0 days 00:00:10.893000,0 days 00:55:53.921000
2024-05-05 20:03:34.929,7251,84,2,0,False,1,car,0 days 00:00:11.133000,0 days 00:55:54.161000
2024-05-05 20:03:35.089,7093,83,2,12,False,1,car,0 days 00:00:11.293000,0 days 00:55:54.321000
2024-05-05 20:03:35.449,7416,84,2,19,False,1,car,0 days 00:00:11.653000,0 days 00:55:54.681000
2024-05-05 20:03:35.649,7582,85,2,22,False,1,car,0 days 00:00:11.853000,0 days 00:55:54.881000
2024-05-05 20:03:36.050,7844,89,2,29,False,1,car,0 days 00:00:12.254000,0 days 00:55:55.282000
2024-05-05 20:03:36.330,8502,94,2,49,False,1,car,0 days 00:00:12.534000,0 days 00:55:55.562000
2024-05-05 20:03:36.530,9313,101,2,55,False,1,car,0 days 00:00:12.734000,0 days 00:55:55.762000
2024-05-05 20:03:36.850,9957,110,2,58,False,1,car,0 days 00:00:13.054000,0 days 00:55:56.082000
2024-05-05 20:03:37.290,8203,118,3,0,True,1,car,0 days 00:00:13.494000,0 days 00:55:56.522000
2024-05-05 20:03:37.650,7873,112,3,0,True,1,car,0 days 00:00:13.854000,0 days 00:55:56.882000
2024-05-05 20:03:37.850,8088,110,3,15,False,1,car,0 days 00:00:14.054000,0 days 00:55:57.082000
2024-05-05 20:03:38.010,8169,108,3,24,False,1,car,0 days 00:00:14.214000,0 days 00:55:57.242000
2024-05-05 20:03:38.170,8079,109,3,28,False,1,car,0 days 00:00:14.374000,0 days 00:55:57.402000
2024-05-05 20:03:38.490,8272,110,3,22,False,1,car,0 days 00:00:14.694000,0 days 00:55:57.722000
2024-05-05 20:03:38.729,8498,114,3,38,False,1,car,0 days 00:00:14.933000,0 days 00:55:57.961000
2024-05-05 20:03:38.969,8848,119,3,40,False,1,car,0 days 00:00:15.173000,0 days 00:55:58.201000
2024-05-05 20:03:39.129,9537,125,3,60,False,1,car,0 days 00:00:15.333000,0 days 00:55:58.361000
2024-05-05 20:03:39.489,10452,134,3,78,False,1,car,0 days 00:00:15.693000,0 days 00:55:58.721000
2024-05-05 20:03:39.649,10855,142,3,82,False,1,car,0 days 00:00:15.853000,0 days 00:55:58.881000
2024-05-05 20:03:39.849,11089,152,3,73,False,1,car,0 days 00:00:16.053000,0 days 00:55:59.081000
2024-05-05 20:03:40.089,10178,159,3,59,False,1,car,0 days 00:00:16.293000,0 days 00:55:59.321000
2024-05-05 20:03:40.289,10469,163,4,61,False,1,car,0 days 00:00:16.493000,0 days 00:55:59.521000
2024-05-05 20:03:40.569,10657,167,4,54,False,1,car,0 days 00:00:16.773000,0 days 00:55:59.801000
2024-05-05 20:03:40.809,10940,171,4,59,False,1,car,0 days 00:00:17.013000,0 days 00:56:00.041000
2024-05-05 20:03:41.129,11030,175,4,60,False,1,car,0 days 00:00:17.333000,0 days 00:56:00.361000
2024-05-05 20:03:41.329,11211,179,4,63,False,1,car,0 days 00:00:17.533000,0 days 00:56:00.561000
2024-05-05 20:03:41.529,11483,180,4,65,False,1,car,0 days 00:00:17.733000,0 days 00:56:00.761000
2024-05-05 20:03:41.809,10933,177,4,13,True,1,car,0 days 00:00:18.013000,0 days 00:56:01.041000
2024-05-05 20:03:42.209,11079,176,4,46,False,1,car,0 days 00:00:18.413000,0 days 00:56:01.441000
2024-05-05 20:03:42.409,11473,177,4,55,False,1,car,0 days 00:00:18.613000,0 days 00:56:01.641000
2024-05-05 20:03:42.770,11377,181,4,62,False,1,car,0 days 00:00:18.974000,0 days 00:56:02.002000
2024-05-05 20:03:42.930,11765,184,4,65,False,1,car,0 days 00:00:19.134000,0 days 00:56:02.162000
2024-05-05 20:03:43.290,12343,193,4,100,False,1,car,0 days 00:00:19.494000,0 days 00:56:02.522000
2024-05-05 20:03:43.450,11923,196,4,100,False,1,car,0 days 00:00:19.654000,0 days 00:56:02.682000
2024-05-05 20:03:43.690,11267,202,5,100,False,1,car,0 days 00:00:19.894000,0 days 00:56:02.922000
2024-05-05 20:03:43.890,11250,209,5,100,False,1,car,0 days 00:00:20.094000,0 days 00:56:03.122000
2024-05-05 20:03:44.290,11925,217,5,100,False,1,car,0 days 00:00:20.494000,0 days 00:56:03.522000
2024-05-05 20:03:44.450,11925,217,5,100,False,1,car,0 days 00:00:20.654000,0 days 00:56:03.682000
2024-05-05 20:03:44.650,11925,217,5,100,False,1,car,0 days 00:00:20.854000,0 days 00:56:03.882000
2024-05-05 20:03:44.930,11645,233,6,100,False,1,car,0 days 00:00:21.134000,0 days 00:56:04.162000
2024-05-05 20:03:45.130,11548,243,6,100,False,1,car,0 days 00:00:21.334000,0 days 00:56:04.362000
