F1 for AiM
Racer,Charles Leclerc
Vehicle,Ferrari
Track,Circuit Gilles Villeneuve
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-09 18:03:11.652,10392,0,2,37,True,1,car,0 days 00:00:00.047000,0 days 00:04:05.655000
2024-06-09 18:03:11.853,10429,0,2,37,True,1,car,0 days 00:00:00.248000,0 days 00:04:05.856000
2024-06-09 18:03:12.173,8749,0,2,35,False,1,car,0 days 00:00:00.568000,0 days 00:04:06.176000
2024-06-09 18:03:12.453,6789,9,2,35,False,1,car,0 days 00:00:00.848000,0 days 00:04:06.456000
2024-06-09 18:03:12.733,4829,16,2,35,False,1,car,0 days 00:00:01.128000,0 days 00:04:06.736000
2024-06-09 18:03:13.012,4509,24,2,35,False,1,car,0 days 00:00:01.407000,0 days 00:04:07.015000
2024-06-09 18:03:13.332,4668,30,2,36,False,1,car,0 days 00:00:01.727000,0 days 00:04:07.335000
2024-06-09 18:03:13.532,5788,34,2,37,False,1,car,0 days 00:00:01.927000,0 days 00:04:07.535000
2024-06-09 18:03:13.932,6167,41,2,36,False,1,car,0 days 00:00:02.327000,0 days 00:04:07.935000
2024-06-09 18:03:14.292,4908,48,2,41,False,1,car,0 days 00:00:02.687000,0 days 00:04:08.295000
2024-06-09 18:03:14.532,4913,55,2,42,False,1,car,0 days 00:00:02.927000,0 days 00:04:08.535000
2024-06-09 18:03:14.812,5663,63,2,46,False,1,car,0 days 00:00:03.207000,0 days 00:04:08.815000
2024-06-09 18:03:15.212,6733,74,2,51,False,1,car,0 days 00:00:03.607000,0 days 00:04:09.215000
2024-06-09 18:03:15.412,7363,80,2,55,False,1,car,0 days 00:00:03.807000,0 days 00:04:09.415000
2024-06-09 18:03:15.812,9915,88,2,52,False,1,car,0 days 00:00:04.207000,0 days 00:04:09.815000
2024-06-09 18:03:16.012,8821,92,2,54,False,1,car,0 days 00:00:04.407000,0 days 00:04:10.015000
2024-06-09 18:03:16.212,9030,97,2,55,False,1,car,0 days 00:00:04.607000,0 days 00:04:10.215000
2024-06-09 18:03:16.412,9590,101,2,61,False,1,car,0 days 00:00:04.807000,0 days 00:04:10.415000
2024-06-09 18:03:16.652,9590,105,2,54,False,1,car,0 days 00:00:05.047000,0 days 00:04:10.655000
2024-06-09 18:03:16.852,8190,109,2,59,False,1,car,0 days 00:00:05.247000,0 days 00:04:10.855000
2024-06-09 18:03:17.052,8557,114,3,59,False,1,car,0 days 00:00:05.447000,0 days 00:04:11.055000
2024-06-09 18:03:17.212,8822,119,3,62,False,1,car,0 days 00:00:05.607000,0 days 00:04:11.215000
2024-06-09 18:03:17.572,9675,127,3,69,False,1,car,0 days 00:00:05.967000,0 days 00:04:11.575000
2024-06-09 18:03:17.892,11204,135,3,75,False,1,car,0 days 00:00:06.287000,0 days 00:04:11.895000
