F1 for AiM
Racer,Charles Leclerc
Vehicle,Ferrari
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-05 20:03:23.810,10443,0,1,36,True,1,car,0 days 00:00:00.014000,0 days 00:55:43.042000
2024-05-05 20:03:24.170,9781,0,1,37,True,1,car,0 days 00:00:00.374000,0 days 00:55:43.402000
2024-05-05 20:03:24.530,7386,12,1,35,False,1,car,0 days 00:00:00.734000,0 days 00:55:43.762000
2024-05-05 20:03:24.810,5467,17,1,35,False,1,car,0 days 00:00:01.014000,0 days 00:55:44.042000
2024-05-05 20:03:25.169,5255,29,1,37,False,1,car,0 days 00:00:01.373000,0 days 00:55:44.401000
2024-05-05 20:03:25.449,5285,35,1,39,False,1,car,0 days 00:00:01.653000,0 days 00:55:44.681000
2024-05-05 20:03:25.769,5859,49,1,45,False,1,car,0 days 00:00:01.973000,0 days 00:55:45.001000
2024-05-05 20:03:26.009,6505,56,1,52,False,1,car,0 days 00:00:02.213000,0 days 00:55:45.241000
2024-05-05 20:03:26.249,8185,68,1,62,False,1,car,0 days 00:00:02.453000,0 days 00:55:45.481000
2024-05-05 20:03:26.689,10630,86,1,71,False,1,car,0 days 00:00:02.893000,0 days 00:55:45.921000
2024-05-05 20:03:26.849,9510,95,1,79,False,1,car,0 days 00:00:03.053000,0 days 00:55:46.081000
2024-05-05 20:03:27.049,8935,105,2,79,False,1,car,0 days 00:00:03.253000,0 days 00:55:46.281000
2024-05-05 20:03:27.369,10888,121,2,99,False,1,car,0 days 00:00:03.573000,0 days 00:55:46.601000
2024-05-05 20:03:27.689,10658,137,3,99,False,1,car,0 days 00:00:03.893000,0 days 00:55:46.921000
2024-05-05 20:03:27.889,11280,148,3,99,False,1,car,0 days 00:00:04.093000,0 days 00:55:47.121000
2024-05-05 20:03:28.089,9880,158,3,99,False,1,car,0 days 00:00:04.293000,0 days 00:55:47.321000
2024-05-05 20:03:28.489,11107,174,4,99,False,1,car,0 days 00:00:04.693000,0 days 00:55:47.721000
2024-05-05 20:03:28.689,11527,181,4,99,False,1,car,0 days 00:00:04.893000,0 days 00:55:47.921000
2024-05-05 20:03:29.089,10697,196,5,99,False,1,car,0 days 00:00:05.293000,0 days 00:55:48.321000
2024-05-05 20:03:29.329,10824,204,5,99,False,1,car,0 days 00:00:05.533000,0 days 00:55:48.561000
2024-05-05 20:03:29.570,11081,204,5,99,False,1,car,0 days 00:00:05.774000,0 days 00:55:48.802000
2024-05-05 20:03:29.770,11309,215,5,99,False,1,car,0 days 00:00:05.974000,0 days 00:55:49.002000
2024-05-05 20:03:30.130,10905,215,5,2,True,1,car,0 days 00:00:06.334000,0 days 00:55:49.362000
2024-05-05 20:03:30.530,11024,180,5,0,True,1,car,0 days 00:00:06.734000,0 days 00:55:49.762000
2024-05-05 20:03:30.730,10744,161,4,0,True,1,car,0 days 00:00:06.934000,0 days 00:55:49.962000
2024-05-05 20:03:30.930,10555,153,4,0,True,1,car,0 days 00:00:07.134000,0 days 00:55:50.162000
2024-05-05 20:03:31.090,9486,136,3,0,True,1,car,0 days 00:00:07.294000,0 days 00:55:50.322000
2024-05-05 20:03:31.450,9270,106,3,0,True,1,car,0 days 00:00:07.654000,0 days 00:55:50.682000
2024-05-05 20:03:31.690,7922,95,2,0,True,1,car,0 days 00:00:07.894000,0 days 00:55:50.922000
2024-05-05 20:03:32.009,7076,84,2,0,True,1,car,0 days 00:00:08.213000,0 days 00:55:51.241000
2024-05-05 20:03:32.409,6508,78,2,0,False,1,car,0 days 00:00:08.613000,0 days 00:55:51.641000
2024-05-05 20:03:32.569,6518,75,2,3,False,1,car,0 days 00:00:08.773000,0 days 00:55:51.801000
2024-05-05 20:03:32.889,7131,74,2,32,False,1,car,0 days 00:00:09.093000,0 days 00:55:52.121000
2024-05-05 20:03:33.169,7317,77,2,49,False,1,car,0 days 00:00:09.373000,0 days 00:55:52.401000
2024-05-05 20:03:33.369,7424,81,2,46,False,1,car,0 days 00:00:09.573000,0 days 00:55:52.601000
2024-05-05 20:03:33.769,7400,90,2,55,False,1,car,0 days 00:00:09.973000,0 days 00:55:53.001000
2024-05-05 20:03:33.969,7131,95,3,59,False,1,car,0 days 00:00:10.173000,0 days 00:55:53.201000
2024-05-05 20:03:34.129,7411,101,3,59,False,1,car,0 days 00:00:10.333000,0 days 00:55:53.361000
2024-05-05 20:03:34.409,8513,107,3,71,False,1,car,0 days 00:00:10.613000,0 days 00:55:53.641000
2024-05-05 20:03:34.689,9478,118,3,80,False,1,car,0 days 00:00:10.893000,0 days 00:55:53.921000
2024-05-05 20:03:34.929,9897,131,3,74,False,1,car,0 days 00:00:11.133000,0 days 00:55:54.161000
2024-05-05 20:03:35.089,10039,131,3,57,False,1,car,0 days 00:00:11.293000,0 days 00:55:54.321000
2024-05-05 20:03:35.449,8634,139,4,34,False,1,car,0 days 00:00:11.653000,0 days 00:55:54.681000
2024-05-05 20:03:35.649,8699,138,4,35,False,1,car,0 days 00:00:11.853000,0 days 00:55:54.881000
2024-05-05 20:03:36.050,8760,138,4,47,False,1,car,0 days 00:00:12.254000,0 days 00:55:55.282000
2024-05-05 20:03:36.330,8955,139,4,55,False,1,car,0 days 00:00:12.534000,0 days 00:55:55.562000
2024-05-05 20:03:36.530,9353,139,4,63,False,1,car,0 days 00:00:12.734000,0 days 00:55:55.762000
2024-05-05 20:03:36.850,9852,151,4,87,False,1,car,0 days 00:00:13.054000,0 days 00:55:56.082000
2024-05-05 20:03:37.290,10896,169,4,92,False,1,car,0 days 00:00:13.494000,0 days 00:55:56.522000
2024-05-05 20:03:37.650,10208,179,4,76,False,1,car,0 days 00:00:13.854000,0 days 00:55:56.882000
2024-05-05 20:03:37.850,10066,183,5,79,False,1,car,0 days 00:00:14.054000,0 days 00:55:57.082000
2024-05-05 20:03:38.010,10169,185,5,87,False,1,car,0 days 00:00:14.214000,0 days 00:55:57.242000
2024-05-05 20:03:38.170,10304,190,5,87,False,1,car,0 days 00:00:14.374000,0 days 00:55:57.402000
2024-05-05 20:03:38.490,10583,198,5,99,False,1,car,0 days 00:00:14.694000,0 days 00:55:57.722000
2024-05-05 20:03:38.729,11052,207,5,99,False,1,car,0 days 00:00:14.933000,0 days 00:55:57.961000
2024-05-05 20:03:38.969,11381,211,5,99,False,1,car,0 days 00:00:15.173000,0 days 00:55:58.201000
2024-05-05 20:03:39.129,11643,217,5,99,False,1,car,0 days 00:00:15.333000,0 days 00:55:58.361000
2024-05-05 20:03:39.489,11960,222,5,99,False,1,car,0 days 00:00:15.693000,0 days 00:55:58.721000
2024-05-05 20:03:39.649,10840,224,5,100,False,1,car,0 days 00:00:15.853000,0 days 00:55:58.881000
2024-05-05 20:03:39.849,10582,231,6,100,False,1,car,0 days 00:00:16.053000,0 days 00:55:59.081000
2024-05-05 20:03:40.089,10841,235,6,99,False,1,car,0 days 00:00:16.293000,0 days 00:55:59.321000
2024-05-05 20:03:40.289,11023,238,6,99,False,1,car,0 days 00:00:16.493000,0 days 00:55:59.521000
2024-05-05 20:03:40.569,11227,242,6,99,False,1,car,0 days 00:00:16.773000,0 days 00:55:59.801000
2024-05-05 20:03:40.809,11227,247,6,99,False,1,car,0 days 00:00:17.013000,0 days 00:56:00.041000
2024-05-05 20:03:41.129,11685,254,6,99,False,1,car,0 days 00:00:17.333000,0 days 00:56:00.361000
2024-05-05 20:03:41.329,11818,256,6,99,False,1,car,0 days 00:00:17.533000,0 days 00:56:00.561000
2024-05-05 20:03:41.529,10978,260,6,100,False,1,car,0 days 00:00:17.733000,0 days 00:56:00.761000
2024-05-05 20:03:41.809,10618,261,7,99,False,1,car,0 days 00:00:18.013000,0 days 00:56:01.041000
2024-05-05 20:03:42.209,10790,268,7,99,False,1,car,0 days 00:00:18.413000,0 days 00:56:01.441000
2024-05-05 20:03:42.409,10921,269,7,99,False,1,car,0 days 00:00:18.613000,0 days 00:56:01.641000
2024-05-05 20:03:42.770,11044,275,7,99,False,1,car,0 days 00:00:18.974000,0 days 00:56:02.002000
2024-05-05 20:03:42.930,11129,277,7,99,False,1,car,0 days 00:00:19.134000,0 days 00:56:02.162000
2024-05-05 20:03:43.290,11219,280,7,99,False,1,car,0 days 00:00:19.494000,0 days 00:56:02.522000
2024-05-05 20:03:43.450,11304,280,7,99,False,1,car,0 days 00:00:19.654000,0 days 00:56:02.682000
2024-05-05 20:03:43.690,11454,285,7,99,False,1,car,0 days 00:00:19.894000,0 days 00:56:02.922000
2024-05-05 20:03:43.890,11471,286,7,99,False,1,car,0 days 00:00:20.094000,0 days 00:56:03.122000
2024-05-05 20:03:44.290,11603,289,7,99,False,1,car,0 days 00:00:20.494000,0 days 00:56:03.522000
2024-05-05 20:03:44.450,11662,291,7,99,False,1,car,0 days 00:00:20.654000,0 days 00:56:03.682000
2024-05-05 20:03:44.650,11720,292,7,99,False,1,car,0 days 00:00:20.854000,0 days 00:56:03.882000
2024-05-05 20:03:44.930,11205,280,7,14,True,1,car,0 days 00:00:21.134000,0 days 00:56:04.162000
2024-05-05 20:03:45.130,11191,271,7,12,True,1,car,0 days 00:00:21.334000,0 days 00:56:04.362000
2024-05-05 20:03:45.329,11840,264,7,12,True,1,car,0 days 00:00:21.533000,0 days 00:56:04.561000
2024-05-05 20:03:45.689,11541,256,6,16,False,1,car,0 days 00:00:21.893000,0 days 00:56:04.921000
2024-05-05 20:03:46.129,10856,241,6,61,False,1,car,0 days 00:00:22.333000,0 days 00:56:05.361000
2024-05-05 20:03:46.409,10935,238,6,71,False,1,car,0 days 00:00:22.613000,0 days 00:56:05.641000
2024-05-05 20:03:46.689,10858,237,6,99,False,1,car,0 days 00:00:22.893000,0 days 00:56:05.921000
2024-05-05 20:03:47.009,11015,240,6,99,True,1,car,0 days 00:00:23.213000,0 days 00:56:06.241000
2024-05-05 20:03:47.249,10482,237,6,15,True,1,car,0 days 00:00:23.453000,0 days 00:56:06.481000
2024-05-05 20:03:47.489,11776,227,6,18,True,1,car,0 days 00:00:23.693000,0 days 00:56:06.721000
2024-05-05 20:03:47.729,11244,216,5,21,True,1,car,0 days 00:00:23.933000,0 days 00:56:06.961000
2024-05-05 20:03:48.129,11075,206,5,51,False,1,car,0 days 00:00:24.333000,0 days 00:56:07.361000
2024-05-05 20:03:48.329,10902,204,5,53,False,1,car,0 days 00:00:24.533000,0 days 00:56:07.561000
2024-05-05 20:03:48.609,10961,204,5,76,False,1,car,0 days 00:00:24.813000,0 days 00:56:07.841000
2024-05-05 20:03:48.769,11124,205,5,78,False,1,car,0 days 00:00:24.973000,0 days 00:56:08.001000
2024-05-05 20:03:49.009,11266,208,5,87,False,1,car,0 days 00:00:25.213000,0 days 00:56:08.241000
2024-05-05 20:03:49.450,11471,215,5,99,False,1,car,0 days 00:00:25.654000,0 days 00:56:08.682000
2024-05-05 20:03:49.770,10156,221,5,96,False,1,car,0 days 00:00:25.974000,0 days 00:56:09.002000
2024-05-05 20:03:50.010,10195,224,6,62,False,1,car,0 days 00:00:26.214000,0 days 00:56:09.242000
2024-05-05 20:03:50.210,10177,222,6,57,False,1,car,0 days 00:00:26.414000,0 days 00:56:09.442000
2024-05-05 20:03:50.370,10112,222,6,59,False,1,car,0 days 00:00:26.574000,0 days 00:56:09.602000
2024-05-05 20:03:50.690,9967,222,6,59,False,1,car,0 days 00:00:26.894000,0 days 00:56:09.922000
2024-05-05 20:03:50.890,10077,219,6,62,False,1,car,0 days 00:00:27.094000,0 days 00:56:10.122000
2024-05-05 20:03:51.130,10003,218,6,60,False,1,car,0 days 00:00:27.334000,0 days 00:56:10.362000
2024-05-05 20:03:51.450,9867,216,6,58,True,1,car,0 days 00:00:27.654000,0 days 00:56:10.682000
2024-05-05 20:03:51.690,9983,206,6,0,True,1,car,0 days 00:00:27.894000,0 days 00:56:10.922000
2024-05-05 20:03:51.850,10354,198,6,0,True,1,car,0 days 00:00:28.054000,0 days 00:56:11.082000
2024-05-05 20:03:52.129,9805,188,5,0,True,1,car,0 days 00:00:28.333000,0 days 00:56:11.361000
2024-05-05 20:03:52.289,9706,186,5,0,True,1,car,0 days 00:00:28.493000,0 days 00:56:11.521000
2024-05-05 20:03:52.769,10482,169,4,0,True,1,car,0 days 00:00:28.973000,0 days 00:56:12.001000
2024-05-05 20:03:53.089,9868,160,4,0,True,1,car,0 days 00:00:29.293000,0 days 00:56:12.321000
2024-05-05 20:03:53.289,9570,155,4,0,False,1,car,0 days 00:00:29.493000,0 days 00:56:12.521000
2024-05-05 20:03:53.449,9402,152,4,2,False,1,car,0 days 00:00:29.653000,0 days 00:56:12.681000
2024-05-05 20:03:53.849,9025,146,4,1,False,1,car,0 days 00:00:30.053000,0 days 00:56:13.081000
2024-05-05 20:03:54.169,8663,140,4,0,True,1,car,0 days 00:00:30.373000,0 days 00:56:13.401000
2024-05-05 20:03:54.329,8498,137,4,0,False,1,car,0 days 00:00:30.533000,0 days 00:56:13.561000
2024-05-05 20:03:54.489,8415,136,4,0,False,1,car,0 days 00:00:30.693000,0 days 00:56:13.721000
2024-05-05 20:03:54.769,8280,132,4,1,False,1,car,0 days 00:00:30.973000,0 days 00:56:14.001000
