F1 for AiM
Racer,Sergio Perez
Vehicle,Red Bull Racing
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-26 13:03:11.156,9834,0,1,16,True,1,car,0 days 00:00:00.087000,0 days 00:55:05.767000
2024-05-26 13:03:11.356,9854,0,1,16,True,1,car,0 days 00:00:00.287000,0 days 00:55:05.967000
2024-05-26 13:03:11.676,7614,4,1,18,False,1,car,0 days 00:00:00.607000,0 days 00:55:06.287000
2024-05-26 13:03:11.956,5654,14,1,18,False,1,car,0 days 00:00:00.887000,0 days 00:55:06.567000
2024-05-26 13:03:12.276,5207,17,1,18,False,1,car,0 days 00:00:01.207000,0 days 00:55:06.887000
2024-05-26 13:03:12.476,5024,26,1,23,False,1,car,0 days 00:00:01.407000,0 days 00:55:07.087000
2024-05-26 13:03:12.676,5024,37,1,23,False,1,car,0 days 00:00:01.607000,0 days 00:55:07.287000
2024-05-26 13:03:12.876,5864,44,1,41,False,1,car,0 days 00:00:01.807000,0 days 00:55:07.487000
2024-05-26 13:03:13.116,7544,47,1,44,False,1,car,0 days 00:00:02.047000,0 days 00:55:07.727000
2024-05-26 13:03:13.476,8837,65,1,53,False,1,car,0 days 00:00:02.407000,0 days 00:55:08.087000
2024-05-26 13:03:13.716,9957,73,1,64,False,1,car,0 days 00:00:02.647000,0 days 00:55:08.327000
2024-05-26 13:03:14.116,12014,89,1,80,False,1,car,0 days 00:00:03.047000,0 days 00:55:08.727000
2024-05-26 13:03:14.276,11174,97,1,80,False,1,car,0 days 00:00:03.207000,0 days 00:55:08.887000
2024-05-26 13:03:14.597,11659,111,2,89,False,1,car,0 days 00:00:03.528000,0 days 00:55:09.208000
2024-05-26 13:03:14.837,12114,121,2,100,False,1,car,0 days 00:00:03.768000,0 days 00:55:09.448000
2024-05-26 13:03:15.157,10785,141,3,100,False,1,car,0 days 00:00:04.088000,0 days 00:55:09.768000
2024-05-26 13:03:15.357,11313,151,3,100,False,1,car,0 days 00:00:04.288000,0 days 00:55:09.968000
2024-05-26 13:03:15.557,11313,160,3,100,False,1,car,0 days 00:00:04.488000,0 days 00:55:10.168000
2024-05-26 13:03:15.997,10613,172,4,100,False,1,car,0 days 00:00:04.928000,0 days 00:55:10.608000
2024-05-26 13:03:16.157,10900,176,4,100,False,1,car,0 days 00:00:05.088000,0 days 00:55:10.768000
2024-05-26 13:03:16.436,11597,184,4,100,False,1,car,0 days 00:00:05.367000,0 days 00:55:11.047000
2024-05-26 13:03:16.876,10480,204,5,0,True,1,car,0 days 00:00:05.807000,0 days 00:55:11.487000
2024-05-26 13:03:17.036,9663,199,5,0,True,1,car,0 days 00:00:05.967000,0 days 00:55:11.647000
2024-05-26 13:03:17.316,9296,185,5,12,False,1,car,0 days 00:00:06.247000,0 days 00:55:11.927000
2024-05-26 13:03:17.476,9034,183,5,22,True,1,car,0 days 00:00:06.407000,0 days 00:55:12.087000
2024-05-26 13:03:17.956,8633,176,5,0,True,1,car,0 days 00:00:06.887000,0 days 00:55:12.567000
2024-05-26 13:03:18.116,8536,169,5,0,True,1,car,0 days 00:00:07.047000,0 days 00:55:12.727000
2024-05-26 13:03:18.516,9013,159,5,0,True,1,car,0 days 00:00:07.447000,0 days 00:55:13.127000
2024-05-26 13:03:18.796,8593,141,4,0,True,1,car,0 days 00:00:07.727000,0 days 00:55:13.407000
2024-05-26 13:03:19.076,8737,125,3,0,True,1,car,0 days 00:00:08.007000,0 days 00:55:13.687000
2024-05-26 13:03:19.236,8331,123,3,0,True,1,car,0 days 00:00:08.167000,0 days 00:55:13.847000
2024-05-26 13:03:19.596,8223,103,3,0,True,1,car,0 days 00:00:08.527000,0 days 00:55:14.207000
2024-05-26 13:03:19.916,7938,92,2,1,False,1,car,0 days 00:00:08.847000,0 days 00:55:14.527000
2024-05-26 13:03:20.076,7319,89,2,0,True,1,car,0 days 00:00:09.007000,0 days 00:55:14.687000
2024-05-26 13:03:20.476,7075,75,2,4,True,1,car,0 days 00:00:09.407000,0 days 00:55:15.087000
2024-05-26 13:03:20.676,7191,68,1,0,True,1,car,0 days 00:00:09.607000,0 days 00:55:15.287000
2024-05-26 13:03:20.836,6241,64,1,0,True,1,car,0 days 00:00:09.767000,0 days 00:55:15.447000
2024-05-26 13:03:21.237,6782,59,1,20,True,1,car,0 days 00:00:10.168000,0 days 00:55:15.848000
2024-05-26 13:03:21.597,7062,58,1,17,False,1,car,0 days 00:00:10.528000,0 days 00:55:16.208000
2024-05-26 13:03:21.797,7317,61,1,32,False,1,car,0 days 00:00:10.728000,0 days 00:55:16.408000
2024-05-26 13:03:21.957,7954,61,1,37,False,1,car,0 days 00:00:10.888000,0 days 00:55:16.568000
2024-05-26 13:03:22.317,7571,71,1,19,False,1,car,0 days 00:00:11.248000,0 days 00:55:16.928000
2024-05-26 13:03:22.517,6838,74,1,9,False,1,car,0 days 00:00:11.448000,0 days 00:55:17.128000
2024-05-26 13:03:22.717,5782,73,2,0,True,1,car,0 days 00:00:11.648000,0 days 00:55:17.328000
2024-05-26 13:03:22.917,6031,70,2,4,True,1,car,0 days 00:00:11.848000,0 days 00:55:17.528000
2024-05-26 13:03:23.076,6177,68,2,14,False,1,car,0 days 00:00:12.007000,0 days 00:55:17.687000
2024-05-26 13:03:23.356,6614,72,2,20,False,1,car,0 days 00:00:12.287000,0 days 00:55:17.967000
2024-05-26 13:03:23.556,6639,74,2,27,False,1,car,0 days 00:00:12.487000,0 days 00:55:18.167000
2024-05-26 13:03:23.756,7358,78,2,40,False,1,car,0 days 00:00:12.687000,0 days 00:55:18.367000
2024-05-26 13:03:23.996,7646,82,2,36,False,1,car,0 days 00:00:12.927000,0 days 00:55:18.607000
2024-05-26 13:03:24.236,7976,86,2,41,False,1,car,0 days 00:00:13.167000,0 days 00:55:18.847000
2024-05-26 13:03:24.436,8667,90,2,48,False,1,car,0 days 00:00:13.367000,0 days 00:55:19.047000
2024-05-26 13:03:24.756,9367,99,2,73,False,1,car,0 days 00:00:13.687000,0 days 00:55:19.367000
2024-05-26 13:03:24.996,11047,112,2,82,False,1,car,0 days 00:00:13.927000,0 days 00:55:19.607000
2024-05-26 13:03:25.276,11487,112,2,87,False,1,car,0 days 00:00:14.207000,0 days 00:55:19.887000
2024-05-26 13:03:25.556,11542,137,3,100,False,1,car,0 days 00:00:14.487000,0 days 00:55:20.167000
2024-05-26 13:03:25.756,12245,142,3,100,False,1,car,0 days 00:00:14.687000,0 days 00:55:20.367000
2024-05-26 13:03:26.076,11405,158,3,100,False,1,car,0 days 00:00:15.007000,0 days 00:55:20.687000
2024-05-26 13:03:26.436,10735,168,4,100,False,1,car,0 days 00:00:15.367000,0 days 00:55:21.047000
2024-05-26 13:03:26.596,10972,177,4,100,False,1,car,0 days 00:00:15.527000,0 days 00:55:21.207000
2024-05-26 13:03:26.916,11534,188,4,100,False,1,car,0 days 00:00:15.847000,0 days 00:55:21.527000
2024-05-26 13:03:27.076,10694,194,4,100,False,1,car,0 days 00:00:16.007000,0 days 00:55:21.687000
2024-05-26 13:03:27.276,10419,197,5,100,False,1,car,0 days 00:00:16.207000,0 days 00:55:21.887000
