F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Silverstone Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-07 14:03:12.660,9818,0,1,34,False,1,car,0 days 00:00:00.119000,0 days 00:58:15.631000
2024-07-07 14:03:12.980,9481,0,1,34,False,1,car,0 days 00:00:00.439000,0 days 00:58:15.951000
2024-07-07 14:03:13.380,6681,11,1,34,False,1,car,0 days 00:00:00.839000,0 days 00:58:16.351000
2024-07-07 14:03:13.620,5001,21,1,34,False,1,car,0 days 00:00:01.079000,0 days 00:58:16.591000
2024-07-07 14:03:13.860,4707,27,1,35,False,1,car,0 days 00:00:01.319000,0 days 00:58:16.831000
2024-07-07 14:03:14.260,4961,40,1,37,False,1,car,0 days 00:00:01.719000,0 days 00:58:17.231000
2024-07-07 14:03:14.620,6353,54,1,48,False,1,car,0 days 00:00:02.079000,0 days 00:58:17.591000
2024-07-07 14:03:14.820,7119,61,1,51,False,1,car,0 days 00:00:02.279000,0 days 00:58:17.791000
2024-07-07 14:03:14.980,7259,65,1,51,False,1,car,0 days 00:00:02.439000,0 days 00:58:17.951000
2024-07-07 14:03:15.300,9499,82,1,62,False,1,car,0 days 00:00:02.759000,0 days 00:58:18.271000
2024-07-07 14:03:15.540,11159,91,1,72,False,1,car,0 days 00:00:02.999000,0 days 00:58:18.511000
2024-07-07 14:03:15.820,9885,99,2,77,False,1,car,0 days 00:00:03.279000,0 days 00:58:18.791000
2024-07-07 14:03:16.100,10552,118,2,80,False,1,car,0 days 00:00:03.559000,0 days 00:58:19.071000
2024-07-07 14:03:16.580,10899,138,3,100,False,1,car,0 days 00:00:04.039000,0 days 00:58:19.551000
2024-07-07 14:03:16.740,11319,149,3,100,False,1,car,0 days 00:00:04.199000,0 days 00:58:19.711000
2024-07-07 14:03:17.059,11283,163,3,100,False,1,car,0 days 00:00:04.518000,0 days 00:58:20.030000
2024-07-07 14:03:17.339,11183,176,4,100,False,1,car,0 days 00:00:04.798000,0 days 00:58:20.310000
2024-07-07 14:03:17.540,11650,184,4,100,False,1,car,0 days 00:00:04.999000,0 days 00:58:20.511000
2024-07-07 14:03:17.700,11899,191,4,100,False,1,car,0 days 00:00:05.159000,0 days 00:58:20.671000
2024-07-07 14:03:17.980,10978,198,4,100,False,1,car,0 days 00:00:05.439000,0 days 00:58:20.951000
2024-07-07 14:03:18.340,11156,212,5,100,False,1,car,0 days 00:00:05.799000,0 days 00:58:21.311000
