F1 for AiM
Racer,Max Verstappen
Vehicle,Red Bull Racing
Track,Albert Park Grand Prix Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-24 04:03:12.649,10082,0,1,15,True,1,car,0 days 00:00:00.219000,0 days 00:58:29.451000
2024-03-24 04:03:13.049,7803,7,1,15,False,1,car,0 days 00:00:00.619000,0 days 00:58:29.851000
2024-03-24 04:03:13.329,5843,14,1,16,False,1,car,0 days 00:00:00.899000,0 days 00:58:30.131000
2024-03-24 04:03:13.689,4057,28,1,21,False,1,car,0 days 00:00:01.259000,0 days 00:58:30.491000
2024-03-24 04:03:13.929,4803,35,1,29,False,1,car,0 days 00:00:01.499000,0 days 00:58:30.731000
2024-03-24 04:03:14.089,5353,42,1,35,False,1,car,0 days 00:00:01.659000,0 days 00:58:30.891000
2024-03-24 04:03:14.329,6555,50,1,48,False,1,car,0 days 00:00:01.899000,0 days 00:58:31.131000
2024-03-24 04:03:14.569,7514,59,1,49,False,1,car,0 days 00:00:02.139000,0 days 00:58:31.371000
2024-03-24 04:03:14.769,7992,68,1,56,False,1,car,0 days 00:00:02.339000,0 days 00:58:31.571000
2024-03-24 04:03:15.009,9672,82,1,77,False,1,car,0 days 00:00:02.579000,0 days 00:58:31.811000
2024-03-24 04:03:15.290,11632,96,1,89,False,1,car,0 days 00:00:02.860000,0 days 00:58:32.092000
2024-03-24 04:03:15.570,11192,111,1,100,False,1,car,0 days 00:00:03.140000,0 days 00:58:32.372000
2024-03-24 04:03:15.770,11798,123,1,100,False,1,car,0 days 00:00:03.340000,0 days 00:58:32.572000
2024-03-24 04:03:15.930,10678,128,2,100,False,1,car,0 days 00:00:03.500000,0 days 00:58:32.732000
2024-03-24 04:03:16.090,10505,138,2,100,False,1,car,0 days 00:00:03.660000,0 days 00:58:32.892000
2024-03-24 04:03:16.290,10847,148,3,100,False,1,car,0 days 00:00:03.860000,0 days 00:58:33.092000
2024-03-24 04:03:16.490,11323,157,3,100,False,1,car,0 days 00:00:04.060000,0 days 00:58:33.292000
2024-03-24 04:03:16.810,10704,169,3,100,False,1,car,0 days 00:00:04.380000,0 days 00:58:33.612000
2024-03-24 04:03:17.130,11247,181,4,100,False,1,car,0 days 00:00:04.700000,0 days 00:58:33.932000
2024-03-24 04:03:17.410,11678,191,4,100,False,1,car,0 days 00:00:04.980000,0 days 00:58:34.212000
2024-03-24 04:03:17.810,10636,202,5,100,False,1,car,0 days 00:00:05.380000,0 days 00:58:34.612000
2024-03-24 04:03:18.130,10890,210,5,100,False,1,car,0 days 00:00:05.700000,0 days 00:58:34.932000
2024-03-24 04:03:18.329,11206,215,5,100,False,1,car,0 days 00:00:05.899000,0 days 00:58:35.131000
2024-03-24 04:03:18.489,11346,220,5,100,False,1,car,0 days 00:00:06.059000,0 days 00:58:35.291000
2024-03-24 04:03:18.889,11802,229,5,100,False,1,car,0 days 00:00:06.459000,0 days 00:58:35.691000
2024-03-24 04:03:19.249,10650,237,5,100,False,1,car,0 days 00:00:06.819000,0 days 00:58:36.051000
2024-03-24 04:03:19.529,10858,240,6,100,False,1,car,0 days 00:00:07.099000,0 days 00:58:36.331000
2024-03-24 04:03:19.729,10845,244,6,28,False,1,car,0 days 00:00:07.299000,0 days 00:58:36.531000
2024-03-24 04:03:20.049,11024,226,6,0,True,1,car,0 days 00:00:07.619000,0 days 00:58:36.851000
2024-03-24 04:03:20.209,10044,219,6,0,True,1,car,0 days 00:00:07.779000,0 days 00:58:37.011000
2024-03-24 04:03:20.449,9975,196,6,0,True,1,car,0 days 00:00:08.019000,0 days 00:58:37.251000
2024-03-24 04:03:20.649,10462,182,6,0,True,1,car,0 days 00:00:08.219000,0 days 00:58:37.451000
2024-03-24 04:03:20.849,10013,170,4,0,True,1,car,0 days 00:00:08.419000,0 days 00:58:37.651000
2024-03-24 04:03:21.089,10554,159,4,0,True,1,car,0 days 00:00:08.659000,0 days 00:58:37.891000
2024-03-24 04:03:21.329,10493,150,3,0,True,1,car,0 days 00:00:08.899000,0 days 00:58:38.131000
2024-03-24 04:03:21.609,9482,141,3,0,True,1,car,0 days 00:00:09.179000,0 days 00:58:38.411000
