F1 for AiM
Racer,Guanyu Zhou
Vehicle,Kick Sauber
Track,Hungaroring
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-20 14:00:15.074,4054,20,0,0,True,8,car,0 days 00:00:00.264000,0 days 00:14:54.355000
2024-07-20 14:00:15.394,4079,19,0,0,False,8,car,0 days 00:00:00.584000,0 days 00:14:54.675000
2024-07-20 14:00:15.554,4164,19,0,0,False,8,car,0 days 00:00:00.744000,0 days 00:14:54.835000
2024-07-20 14:00:15.914,4112,19,0,0,False,8,car,0 days 00:00:01.104000,0 days 00:14:55.195000
2024-07-20 14:00:16.154,4133,19,0,0,False,8,car,0 days 00:00:01.344000,0 days 00:14:55.435000
2024-07-20 14:00:16.355,4238,20,0,0,False,8,car,0 days 00:00:01.545000,0 days 00:14:55.636000
2024-07-20 14:00:16.595,3669,19,1,0,False,8,car,0 days 00:00:01.785000,0 days 00:14:55.876000
2024-07-20 14:00:16.875,3624,20,1,1,False,8,car,0 days 00:00:02.065000,0 days 00:14:56.156000
2024-07-20 14:00:17.035,4324,20,1,3,False,8,car,0 days 00:00:02.225000,0 days 00:14:56.316000
2024-07-20 14:00:17.395,4759,21,1,7,False,8,car,0 days 00:00:02.585000,0 days 00:14:56.676000
2024-07-20 14:00:17.675,4256,28,1,10,False,8,car,0 days 00:00:02.865000,0 days 00:14:56.956000
2024-07-20 14:00:18.075,4420,36,1,18,False,8,car,0 days 00:00:03.265000,0 days 00:14:57.356000
2024-07-20 14:00:18.355,5048,43,1,18,False,8,car,0 days 00:00:03.545000,0 days 00:14:57.636000
2024-07-20 14:00:18.555,5729,48,1,20,False,8,car,0 days 00:00:03.745000,0 days 00:14:57.836000
2024-07-20 14:00:18.755,6363,52,1,23,False,8,car,0 days 00:00:03.945000,0 days 00:14:58.036000
2024-07-20 14:00:19.075,7095,57,1,27,False,8,car,0 days 00:00:04.265000,0 days 00:14:58.356000
2024-07-20 14:00:19.355,7950,67,1,31,False,8,car,0 days 00:00:04.545000,0 days 00:14:58.636000
2024-07-20 14:00:19.594,8519,72,1,30,False,8,car,0 days 00:00:04.784000,0 days 00:14:58.875000
2024-07-20 14:00:19.794,9032,75,1,38,False,8,car,0 days 00:00:04.984000,0 days 00:14:59.075000
2024-07-20 14:00:20.034,9493,81,1,42,False,8,car,0 days 00:00:05.224000,0 days 00:14:59.315000
2024-07-20 14:00:20.314,9543,86,1,29,False,8,car,0 days 00:00:05.504000,0 days 00:14:59.595000
2024-07-20 14:00:20.714,8604,98,2,48,False,8,car,0 days 00:00:05.904000,0 days 00:14:59.995000
2024-07-20 14:00:20.914,9119,103,2,51,False,8,car,0 days 00:00:06.104000,0 days 00:15:00.195000
