F1 for AiM
Racer,Guanyu Zhou
Vehicle,Kick Sauber
Track,Circuit de Spa-Francorchamps
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-28 13:03:53.693,7048,15,1,24,False,1,car,0 days 00:00:00.951000,0 days 00:55:15.715000
2024-07-28 13:03:54.093,5468,28,1,27,False,1,car,0 days 00:00:01.351000,0 days 00:55:16.115000
2024-07-28 13:03:54.493,5232,37,1,29,False,1,car,0 days 00:00:01.751000,0 days 00:55:16.515000
2024-07-28 13:03:54.853,6521,54,1,45,False,1,car,0 days 00:00:02.111000,0 days 00:55:16.875000
2024-07-28 13:03:55.013,7365,62,1,47,False,1,car,0 days 00:00:02.271000,0 days 00:55:17.035000
2024-07-28 13:03:55.293,8658,70,1,53,False,1,car,0 days 00:00:02.551000,0 days 00:55:17.315000
2024-07-28 13:03:55.453,9336,78,1,58,False,1,car,0 days 00:00:02.711000,0 days 00:55:17.475000
2024-07-28 13:03:55.693,10438,86,1,64,False,1,car,0 days 00:00:02.951000,0 days 00:55:17.715000
2024-07-28 13:03:55.973,10808,99,1,72,False,1,car,0 days 00:00:03.231000,0 days 00:55:17.995000
2024-07-28 13:03:56.173,9921,108,1,76,False,1,car,0 days 00:00:03.431000,0 days 00:55:18.195000
2024-07-28 13:03:56.493,10952,122,2,83,False,1,car,0 days 00:00:03.751000,0 days 00:55:18.515000
2024-07-28 13:03:56.773,10804,138,2,100,False,1,car,0 days 00:00:04.031000,0 days 00:55:18.795000
2024-07-28 13:03:57.133,11696,158,3,100,False,1,car,0 days 00:00:04.391000,0 days 00:55:19.155000
2024-07-28 13:03:57.334,10613,167,3,100,False,1,car,0 days 00:00:04.592000,0 days 00:55:19.356000
2024-07-28 13:03:57.494,10939,172,4,100,False,1,car,0 days 00:00:04.752000,0 days 00:55:19.516000
2024-07-28 13:03:57.814,11807,187,4,100,False,1,car,0 days 00:00:05.072000,0 days 00:55:19.836000
2024-07-28 13:03:58.174,10407,197,5,100,False,1,car,0 days 00:00:05.432000,0 days 00:55:20.196000
2024-07-28 13:03:58.414,11023,207,5,100,False,1,car,0 days 00:00:05.672000,0 days 00:55:20.436000
2024-07-28 13:03:58.574,11023,210,5,100,False,1,car,0 days 00:00:05.832000,0 days 00:55:20.596000
2024-07-28 13:03:58.813,11492,218,5,100,False,1,car,0 days 00:00:06.071000,0 days 00:55:20.835000
2024-07-28 13:03:58.973,10792,220,5,100,False,1,car,0 days 00:00:06.231000,0 days 00:55:20.995000
2024-07-28 13:03:59.293,10618,229,6,100,False,1,car,0 days 00:00:06.551000,0 days 00:55:21.315000
2024-07-28 13:03:59.493,10728,235,6,100,False,1,car,0 days 00:00:06.751000,0 days 00:55:21.515000
2024-07-28 13:03:59.693,11119,240,6,100,False,1,car,0 days 00:00:06.951000,0 days 00:55:21.715000
2024-07-28 13:03:59.973,10559,245,6,0,True,1,car,0 days 00:00:07.231000,0 days 00:55:21.995000
